Date,Day,change_given
2024-03-12,Tuesday,58.88
2024-03-13,Wednesday,100.94
2024-03-14,Thursday,124.53999999999999
2024-03-15,Friday,161.32999999999998
2024-03-16,Saturday,293.96
2024-03-17,Sunday,209.31
2024-03-18,Monday,546.37
2024-03-19,Tuesday,244.58
2024-03-20,Wednesday,13.71
2024-03-21,Thursday,224.34
2024-03-22,Friday,712.4300000000001
2024-03-23,Saturday,502.34
2024-03-24,Sunday,267.05
2024-03-25,Monday,2245.64
2024-03-26,Tuesday,1994.78
2024-03-27,Wednesday,766.37
2024-03-28,Thursday,661.8299999999999
2024-03-29,Friday,2452.64
2024-03-30,Saturday,780.76
2024-03-31,Sunday,167.73
2024-04-01,Monday,240.6
2024-04-02,Tuesday,2116.0
2024-04-03,Wednesday,2461.8
2024-04-04,Thursday,2064.5099999999998
2024-04-05,Friday,2031.62
2024-04-06,Saturday,1589.58
2024-04-07,Sunday,488.34000000000003
2024-04-08,Monday,329.15999999999997
2024-04-09,Tuesday,64.88
2024-04-10,Wednesday,85.41
2024-04-11,Thursday,2125.5499999999997
2024-04-12,Friday,2107.08
2024-04-13,Saturday,1189.45
2024-04-14,Sunday,145.87
2024-04-15,Monday,45.7
2024-04-16,Tuesday,242.38
2024-04-17,Wednesday,114.01
2024-04-18,Thursday,132.57999999999998
2024-04-19,Friday,112.59
2024-04-20,Saturday,911.1899999999999
2024-04-21,Sunday,372.69000000000005
2024-04-22,Monday,4253.98
2024-04-23,Tuesday,4447.9
2024-04-24,Wednesday,2444.38
2024-04-25,Thursday,1941.22
2024-04-26,Friday,279.26
2024-04-27,Saturday,793.83
2024-04-28,Sunday,114.97
2024-04-29,Monday,103.65
2024-04-30,Tuesday,233.4
2024-05-01,Wednesday,4353.83
2024-05-02,Thursday,212.25
2024-05-03,Friday,2534.27
2024-05-04,Saturday,82.37
2024-05-05,Sunday,1875.2399999999998
2024-05-06,Monday,626.26
2024-05-07,Tuesday,129.04
2024-05-08,Wednesday,166.74
2024-05-09,Thursday,613.96
2024-05-10,Friday,337.33000000000004
2024-05-11,Saturday,519.72
2024-05-12,Sunday,68.39
2024-05-13,Monday,2164.16
2024-05-14,Tuesday,266.62
2024-05-15,Wednesday,4516.07
2024-05-16,Thursday,250.55
2024-05-17,Friday,2130.82
2024-05-18,Saturday,127.75
2024-05-19,Sunday,92.21
2024-05-20,Monday,1860.61
2024-05-21,Tuesday,504.39
2024-05-22,Wednesday,185.91
2024-05-23,Thursday,494.67
2024-05-24,Friday,1360.29
2024-05-25,Saturday,223.44
2024-05-26,Sunday,557.89
2024-05-27,Monday,1926.04
2024-05-28,Tuesday,134.35
2024-05-29,Wednesday,2324.17
2024-05-30,Thursday,2516.31
2024-05-31,Friday,1713.5
2024-06-01,Saturday,67.03
2024-06-02,Sunday,2157.65
2024-06-03,Monday,2503.53
2024-06-04,Tuesday,791.86
2024-06-05,Wednesday,336.07
2024-06-06,Thursday,100.74
2024-06-07,Friday,232.67000000000002
2024-06-08,Saturday,59.92
2024-06-09,Sunday,527.34
2024-06-10,Monday,2102.9900000000002
2024-06-11,Tuesday,2050.65
2024-06-12,Wednesday,536.14
2024-06-13,Thursday,277.56
2024-06-14,Friday,164.8
2024-06-15,Saturday,130.22
2024-06-16,Sunday,2026.74
2024-06-17,Monday,89.71
2024-06-18,Tuesday,85.11
2024-06-19,Wednesday,75.0
2024-06-20,Thursday,331.96
2024-06-21,Friday,99.27
2024-06-22,Saturday,1955.49
2024-06-23,Sunday,74.43
2024-06-24,Monday,510.32
2024-06-25,Tuesday,358.32
2024-06-26,Wednesday,39.199999999999996
2024-06-27,Thursday,30.48
2024-06-28,Friday,401.71000000000004
2024-06-29,Saturday,395.35999999999996
2024-06-30,Sunday,332.49
2024-07-01,Monday,76.3
2024-07-02,Tuesday,689.91
2024-07-03,Wednesday,631.22
2024-07-04,Thursday,173.74
2024-07-05,Friday,164.16
2024-07-06,Saturday,149.58
2024-07-07,Sunday,53.48
2024-07-08,Monday,1952.33
2024-07-09,Tuesday,694.71
2024-07-10,Wednesday,758.1
2024-07-11,Thursday,125.27
2024-07-12,Friday,58.36
2024-07-13,Saturday,104.87
2024-07-14,Sunday,237.95
2024-07-15,Monday,426.66
2024-07-16,Tuesday,213.39000000000001
2024-07-17,Wednesday,174.24
2024-07-18,Thursday,424.52
2024-07-19,Friday,1743.8300000000002
2024-07-20,Saturday,19.83
2024-07-21,Sunday,2047.0400000000002
2024-07-22,Monday,106.32
2024-07-23,Tuesday,44.14
2024-07-24,Wednesday,53.14
2024-07-25,Thursday,63.019999999999996
2024-07-26,Friday,170.88
2024-07-27,Saturday,335.21999999999997
2024-07-28,Sunday,44.23
2024-07-29,Monday,169.65
2024-07-30,Tuesday,218.7
2024-07-31,Wednesday,66.42
2024-08-01,Thursday,199.13
2024-08-02,Friday,1982.9600000000003
2024-08-03,Saturday,85.19
2024-08-04,Sunday,788.89
2024-08-05,Monday,279.17
2024-08-06,Tuesday,163.95000000000002
2024-08-07,Wednesday,65.45
2024-08-08,Thursday,50.769999999999996
2024-08-09,Friday,77.84
2024-08-10,Saturday,215.59
2024-08-11,Sunday,75.24000000000001
2024-08-12,Monday,218.67
2024-08-13,Tuesday,2456.11
2024-08-14,Wednesday,431.49000000000007
2024-08-15,Thursday,2142.3100000000004
2024-08-16,Friday,197.57
2024-08-17,Saturday,310.43
2024-08-18,Sunday,73.64
2024-08-19,Monday,116.24000000000001
2024-08-20,Tuesday,2095.66
2024-08-21,Wednesday,34.88
2024-08-22,Thursday,23.880000000000003
2024-08-23,Friday,2131.41
2024-08-24,Saturday,138.85
2024-08-25,Sunday,303.38
2024-08-26,Monday,26.15
2024-08-27,Tuesday,155.4
2024-08-28,Wednesday,49.28
2024-08-29,Thursday,1948.5
2024-08-30,Friday,282.37
2024-08-31,Saturday,278.71999999999997
2024-09-01,Sunday,48.32
2024-09-02,Monday,530.3199999999999
2024-09-03,Tuesday,170.75
2024-09-04,Wednesday,442.18
2024-09-05,Thursday,2584.11
2024-09-06,Friday,176.03
2024-09-07,Saturday,99.09
2024-09-08,Sunday,47.42
2024-09-09,Monday,2133.46
2024-09-10,Tuesday,2114.9100000000003
2024-09-11,Wednesday,227.45
2024-09-12,Thursday,243.8
2024-09-13,Friday,283.48
2024-09-14,Saturday,74.41
2024-09-15,Sunday,1985.0600000000002
2024-09-16,Monday,2128.0099999999998
2024-09-17,Tuesday,790.1
2024-09-18,Wednesday,94.85
2024-09-19,Thursday,47.190000000000005
2024-09-20,Friday,124.8
2024-09-21,Saturday,73.85
2024-09-22,Sunday,185.75
2024-09-23,Monday,271.24
2024-09-24,Tuesday,37.38
2024-09-25,Wednesday,118.33000000000001
2024-09-26,Thursday,101.56
2024-09-27,Friday,2225.39
2024-09-28,Saturday,855.78
2024-09-29,Sunday,67.36
2024-09-30,Monday,646.98
2024-10-01,Tuesday,92.94999999999999
2024-10-02,Wednesday,101.14
2024-10-03,Thursday,492.78000000000003
2024-10-04,Friday,2071.26
2024-10-05,Saturday,602.42
2024-10-06,Sunday,159.29999999999998
2024-10-07,Monday,2231.36
2024-10-08,Tuesday,164.29000000000002
2024-10-09,Wednesday,174.32
2024-10-10,Thursday,474.39000000000004
2024-10-11,Friday,12.1
2024-10-12,Saturday,1961.45
2024-10-13,Sunday,3668.07
2024-10-14,Monday,351.83
2024-10-15,Tuesday,451.76000000000005
2024-10-16,Wednesday,28.09
2024-10-17,Thursday,544.89
2024-10-18,Friday,47.7
2024-10-19,Saturday,61.3
2024-10-20,Sunday,286.11
2024-10-21,Monday,2281.17
2024-10-22,Tuesday,1922.6900000000003
2024-10-23,Wednesday,512.81
2024-10-24,Thursday,795.17
2024-10-25,Friday,76.00999999999999
2024-10-26,Saturday,2619.4700000000003
2024-10-27,Sunday,735.44
2024-10-28,Monday,511.48
2024-10-29,Tuesday,157.21
2024-10-30,Wednesday,503.23
2024-10-31,Thursday,345.01
2024-11-01,Friday,178.8
2024-11-02,Saturday,57.980000000000004
2024-11-03,Sunday,1085.9099999999999
2024-11-04,Monday,156.31
2024-11-05,Tuesday,85.93
2024-11-06,Wednesday,1910.91
2024-11-07,Thursday,660.9
2024-11-08,Friday,256.52
2024-11-09,Saturday,323.73
2024-11-10,Sunday,133.62
2024-11-11,Monday,309.46
2024-11-12,Tuesday,46.400000000000006
2024-11-13,Wednesday,47.02
2024-11-14,Thursday,280.35
2024-11-15,Friday,71.01
2024-11-16,Saturday,42.82
2024-11-17,Sunday,57.46
2024-11-18,Monday,4028.92
2024-11-19,Tuesday,1011.37
2024-11-20,Wednesday,82.47
2024-11-21,Thursday,2140.88
2024-11-22,Friday,225.96
2024-11-23,Saturday,156.98000000000002
2024-11-24,Sunday,82.03
2024-11-25,Monday,830.4200000000001
2024-11-26,Tuesday,182.35
2024-11-27,Wednesday,302.45
2024-11-28,Thursday,2184.39
2024-11-29,Friday,193.77
2024-11-30,Saturday,267.96
2024-12-01,Sunday,205.35
2024-12-02,Monday,150.38
2024-12-03,Tuesday,140.29000000000002
2024-12-04,Wednesday,4061.74
2024-12-05,Thursday,2118.89
2024-12-06,Friday,96.16
2024-12-07,Saturday,2243.31
2024-12-08,Sunday,78.99
2024-12-09,Monday,195.9
2024-12-10,Tuesday,199.06
2024-12-11,Wednesday,455.07
2024-12-12,Thursday,232.44
2024-12-13,Friday,583.59
2024-12-14,Saturday,103.62
2024-12-15,Sunday,265.41999999999996
2024-12-16,Monday,1045.16
2024-12-17,Tuesday,241.91
2024-12-18,Wednesday,165.37
2024-12-19,Thursday,2127.55
2024-12-20,Friday,232.28
2024-12-21,Saturday,58.24
2024-12-22,Sunday,80.92
2024-12-23,Monday,5446.41
2024-12-24,Tuesday,83.11
2024-12-25,Wednesday,191.64
2024-12-26,Thursday,2187.75
2024-12-27,Friday,219.37
2024-12-28,Saturday,754.27
2024-12-29,Sunday,331.02
2024-12-30,Monday,1072.8600000000001
2024-12-31,Tuesday,1829.53
2025-01-01,Wednesday,2784.9
2025-01-02,Thursday,2109.2599999999998
2025-01-03,Friday,499.39
2025-01-04,Saturday,2180.9
2025-01-05,Sunday,121.9
2025-01-06,Monday,312.95
2025-01-07,Tuesday,199.83
2025-01-08,Wednesday,76.65
2025-01-09,Thursday,200.4
2025-01-10,Friday,327.83000000000004
2025-01-11,Saturday,82.64
2025-01-12,Sunday,197.36
2025-01-13,Monday,974.4
2025-01-14,Tuesday,90.57
2025-01-15,Wednesday,183.54
2025-01-16,Thursday,324.65
2025-01-17,Friday,125.52
2025-01-18,Saturday,1939.6200000000001
2025-01-19,Sunday,144.04
2025-01-20,Monday,266.39
2025-01-21,Tuesday,126.07
2025-01-22,Wednesday,410.34999999999997
2025-01-23,Thursday,4777.13
2025-01-24,Friday,655.27
2025-01-25,Saturday,664.24
2025-01-26,Sunday,188.5
2025-01-27,Monday,3938.54
2025-01-28,Tuesday,145.39
2025-01-29,Wednesday,388.87
2025-01-30,Thursday,901.76
2025-01-31,Friday,676.59
2025-02-01,Saturday,265.55
2025-02-02,Sunday,114.67
2025-02-03,Monday,2188.56
2025-02-04,Tuesday,2525.53
2025-02-05,Wednesday,523.5799999999999
2025-02-06,Thursday,404.71
2025-02-07,Friday,2268.72
2025-02-08,Saturday,253.06
2025-02-09,Sunday,2114.13
2025-02-10,Monday,539.46
2025-02-11,Tuesday,133.81
2025-02-12,Wednesday,377.49
2025-02-13,Thursday,313.15
2025-02-14,Friday,196.73
2025-02-15,Saturday,118.33
2025-02-16,Sunday,1224.83
2025-02-17,Monday,2299.82
2025-02-18,Tuesday,2777.75
2025-02-19,Wednesday,154.45000000000002
2025-02-20,Thursday,313.48
2025-02-21,Friday,298.71000000000004
2025-02-22,Saturday,396.36
2025-02-23,Sunday,257.8
2025-02-24,Monday,2383.34
2025-02-25,Tuesday,89.37
2025-02-26,Wednesday,150.95000000000002
2025-02-27,Thursday,2221.08
2025-02-28,Friday,2703.9
2025-03-01,Saturday,355.74
2025-03-02,Sunday,186.65
2025-03-03,Monday,908.53
2025-03-04,Tuesday,144.46
2025-03-05,Wednesday,76.1
2025-03-06,Thursday,345.77000000000004
2025-03-07,Friday,282.91
2025-03-08,Saturday,69.9
2025-03-09,Sunday,50.47
2025-03-10,Monday,2069.74
2025-03-11,Tuesday,2100.4700000000003
2025-03-12,Wednesday,138.98000000000002
2025-03-13,Thursday,329.55
2025-03-14,Friday,214.89
2025-03-15,Saturday,4494.4
2025-03-16,Sunday,957.81
2025-03-17,Monday,601.78
2025-03-18,Tuesday,37.2
2025-03-19,Wednesday,424.6
2025-03-20,Thursday,2249.73
2025-03-21,Friday,2063.9500000000003
2025-03-22,Saturday,123.52
2025-03-23,Sunday,1993.71
2025-03-24,Monday,179.14
2025-03-25,Tuesday,2078.9900000000002
2025-03-26,Wednesday,227.57
2025-03-27,Thursday,393.21000000000004
2025-03-28,Friday,640.22
2025-03-29,Saturday,251.9
2025-03-30,Sunday,456.33
2025-03-31,Monday,1056.3999999999999
2025-04-01,Tuesday,3994.8199999999997
2025-04-02,Wednesday,285.65999999999997
2025-04-03,Thursday,2065.27
2025-04-04,Friday,410.17
2025-04-05,Saturday,347.6
2025-04-06,Sunday,332.97
2025-04-07,Monday,4160.05
2025-04-08,Tuesday,2236.53
2025-04-09,Wednesday,167.42
2025-04-10,Thursday,195.92000000000002
2025-04-11,Friday,2054.22
2025-04-12,Saturday,214.82
2025-04-13,Sunday,2087.15
2025-04-14,Monday,2370.46
2025-04-15,Tuesday,292.59999999999997
2025-04-16,Wednesday,247.42
2025-04-17,Thursday,135.94
2025-04-18,Friday,212.29
2025-04-19,Saturday,83.39
2025-04-20,Sunday,366.43
2025-04-21,Monday,636.69
2025-04-22,Tuesday,2555.76
2025-04-23,Wednesday,87.11
2025-04-24,Thursday,425.13
2025-04-25,Friday,2090.33
2025-04-26,Saturday,2064.06
2025-04-27,Sunday,312.6
2025-04-28,Monday,1015.81
2025-04-29,Tuesday,204.1
2025-04-30,Wednesday,751.26
2025-05-01,Thursday,1709.98
2025-05-02,Friday,2026.75
2025-05-03,Saturday,2483.9300000000003
2025-05-04,Sunday,207.09
2025-05-05,Monday,1973.19
2025-05-06,Tuesday,1154.3899999999999
2025-05-07,Wednesday,96.57000000000001
2025-05-08,Thursday,153.23000000000002
2025-05-09,Friday,2185.04
2025-05-10,Saturday,2561.99
2025-05-11,Sunday,320.65
2025-05-12,Monday,300.51
2025-05-13,Tuesday,2205.5299999999997
2025-05-14,Wednesday,1238.49
2025-05-15,Thursday,246.18
2025-05-16,Friday,1997.38
2025-05-17,Saturday,1021.33
2025-05-18,Sunday,158.87
2025-05-19,Monday,2044.0700000000002
2025-05-20,Tuesday,2077.7200000000003
2025-05-21,Wednesday,163.26
2025-05-22,Thursday,273.78
2025-05-23,Friday,2456.8199999999997
2025-05-24,Saturday,88.9
2025-05-25,Sunday,839.56
2025-05-26,Monday,262.51
2025-05-27,Tuesday,615.92
2025-05-28,Wednesday,570.64
2025-05-29,Thursday,42.96
2025-05-30,Friday,859.74
2025-05-31,Saturday,132.77
2025-06-01,Sunday,618.82
2025-06-02,Monday,188.89000000000001
2025-06-03,Tuesday,205.72
2025-06-04,Wednesday,2614.09
2025-06-05,Thursday,680.42
2025-06-06,Friday,239.42000000000002
2025-06-07,Saturday,332.66
2025-06-08,Sunday,281.3
2025-06-09,Monday,304.81
2025-06-10,Tuesday,152.5
2025-06-11,Wednesday,1973.58
2025-06-12,Thursday,2044.07
2025-06-13,Friday,48.83
2025-06-14,Saturday,160.44
2025-06-15,Sunday,114.81
2025-06-16,Monday,2498.37
2025-06-17,Tuesday,326.53999999999996
2025-06-18,Wednesday,662.6
2025-06-19,Thursday,65.1
2025-06-20,Friday,95.49
2025-06-21,Saturday,130.23
2025-06-22,Sunday,158.56
2025-06-23,Monday,104.36999999999999
2025-06-24,Tuesday,1987.44
2025-06-25,Wednesday,435.52
2025-06-26,Thursday,1020.57
2025-06-27,Friday,154.29
2025-06-28,Saturday,457.24
2025-06-29,Sunday,188.75
2025-06-30,Monday,274.95
2025-07-01,Tuesday,346.93
2025-07-02,Wednesday,522.53
2025-07-03,Thursday,408.18
2025-07-04,Friday,562.76
2025-07-05,Saturday,190.04000000000002
2025-07-06,Sunday,177.54
2025-07-07,Monday,1825.91
2025-07-08,Tuesday,2323.13
2025-07-09,Wednesday,2359.59
2025-07-10,Thursday,101.91000000000001
2025-07-11,Friday,2033.5800000000002
2025-07-12,Saturday,144.56
2025-07-13,Sunday,2502.0099999999998
2025-07-14,Monday,258.62
2025-07-15,Tuesday,383.06
2025-07-16,Wednesday,41.47
2025-07-17,Thursday,13.5
2025-07-18,Friday,264.78999999999996
2025-07-19,Saturday,2474.55
2025-07-20,Sunday,75.55
2025-07-21,Monday,1989.85
2025-07-22,Tuesday,628.27
2025-07-23,Wednesday,168.42
2025-07-24,Thursday,883.98
2025-07-25,Friday,3987.98
2025-07-26,Saturday,55.480000000000004
2025-07-27,Sunday,100.53
2025-07-28,Monday,174.09
2025-07-29,Tuesday,222.12
2025-07-30,Wednesday,4.21
2025-07-31,Thursday,181.58
2025-08-01,Friday,456.56
2025-08-02,Saturday,391.35
2025-08-03,Sunday,4157.4800000000005
2025-08-04,Monday,32.4
2025-08-05,Tuesday,748.03
2025-08-06,Wednesday,595.96
2025-08-07,Thursday,70.15
2025-08-08,Friday,118.25999999999999
2025-08-09,Saturday,75.82
2025-08-10,Sunday,185.79
2025-08-11,Monday,1903.7
2025-08-12,Tuesday,108.8
2025-08-13,Wednesday,2022.1399999999999
2025-08-14,Thursday,2063.77
2025-08-15,Friday,152.96
2025-08-16,Saturday,87.91
2025-08-17,Sunday,257.29
2025-08-18,Monday,53.7
2025-08-19,Tuesday,98.52
2025-08-20,Wednesday,1892.43
2025-08-21,Thursday,26.12
2025-08-22,Friday,706.55
2025-08-23,Saturday,2040.17
2025-08-24,Sunday,32.94
2025-08-25,Monday,34.3
2025-08-26,Tuesday,6.64
2025-08-27,Wednesday,439.30999999999995
2025-08-28,Thursday,153.13
2025-08-29,Friday,1948.7600000000002
2025-08-30,Saturday,2664.84
2025-08-31,Sunday,2074.66
2025-09-01,Monday,67.54
2025-09-02,Tuesday,2285.59
2025-09-03,Wednesday,302.45000000000005
2025-09-04,Thursday,92.73
2025-09-05,Friday,2433.31
2025-09-06,Saturday,32.51
2025-09-07,Sunday,16.7
2025-09-08,Monday,149.46
2025-09-09,Tuesday,165.35
2025-09-10,Wednesday,236.77
2025-09-11,Thursday,130.79
2025-09-12,Friday,2402.0099999999998
2025-09-13,Saturday,113.34
2025-09-14,Sunday,143.91
2025-09-15,Monday,629.95
2025-09-16,Tuesday,130.34
2025-09-17,Wednesday,1957.1799999999998
2025-09-18,Thursday,729.63
2025-09-19,Friday,2069.2
2025-09-20,Saturday,260.08
2025-09-21,Sunday,242.64
2025-09-22,Monday,218.38
2025-09-23,Tuesday,72.95
2025-09-24,Wednesday,1969.2299999999998
2025-09-25,Thursday,252.6
2025-09-26,Friday,158.33
2025-09-27,Saturday,29.0
2025-09-28,Sunday,424.43
2025-09-29,Monday,383.68
2025-09-30,Tuesday,514.74
2025-10-01,Wednesday,79.78999999999999
2025-10-02,Thursday,316.83
2025-10-03,Friday,2156.04
2025-10-04,Saturday,562.18
2025-10-05,Sunday,187.98
2025-10-06,Monday,115.97
2025-10-07,Tuesday,227.11
2025-10-08,Wednesday,45.7
2025-10-09,Thursday,502.35
2025-10-10,Friday,2079.7
2025-10-11,Saturday,44.06
2025-10-12,Sunday,748.65
2025-10-13,Monday,160.91
2025-10-14,Tuesday,210.12
2025-10-15,Wednesday,391.2
2025-10-16,Thursday,2185.58
2025-10-17,Friday,43.339999999999996
2025-10-18,Saturday,143.32
2025-10-19,Sunday,281.85
2025-10-20,Monday,1903.97
2025-10-21,Tuesday,69.88
2025-10-22,Wednesday,41.86
2025-10-23,Thursday,534.79
2025-10-24,Friday,162.09
2025-10-25,Saturday,20.78
2025-10-26,Sunday,607.48
2025-10-27,Monday,63.08
2025-10-28,Tuesday,40.89
2025-10-29,Wednesday,784.15
2025-10-30,Thursday,336.63
2025-10-31,Friday,2102.52
2025-11-01,Saturday,110.84
2025-11-02,Sunday,290.55
2025-11-03,Monday,119.82
2025-11-04,Tuesday,273.36
2025-11-05,Wednesday,1919.7
2025-11-06,Thursday,105.87
2025-11-07,Friday,210.13
2025-11-08,Saturday,145.79000000000002
2025-11-09,Sunday,47.42
2025-11-10,Monday,269.93
2025-11-11,Tuesday,584.2
2025-11-12,Wednesday,141.35
2025-11-13,Thursday,368.59000000000003
2025-11-14,Friday,30.54
2025-11-15,Saturday,112.89999999999999
2025-11-16,Sunday,2126.0099999999998
